date,signal_date,action,amount,execution_price_mode,spy_trade_price,qqq_trade_price,spy_weight,qqq_weight,regime,panic_tier,satellite_signal,reason,multiplier,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,cash_reservoir_pct,proceeds,trim_spy_frac,trim_qqq_frac
2011-01-04,2011-01-03,INITIAL_ALLOC,100000.0,next_open,97.1418,48.628,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.4:cheap; neutral_satellite,,,,,,,,,
2011-01-06,2011-01-05,DCA_BUY,2000.0,next_open,97.4164,48.8821,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.4:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01957360020131489,,,
2011-01-13,2011-01-12,DCA_BUY,2000.0,next_open,98.1336,49.5829,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.4:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.018992983842492966,,,
2011-01-20,2011-01-19,DCA_BUY,2000.0,next_open,97.6224,49.2938,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.0:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01867122998669327,,,
2011-01-27,2011-01-26,DCA_BUY,2000.0,next_open,98.9499,49.9421,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.0:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.018179336147339565,,,
2011-02-03,2011-02-02,DCA_BUY,2000.0,next_open,99.3771,49.8019,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.0:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.017780659567296908,,,
2011-02-10,2011-02-09,DCA_BUY,2000.0,next_open,100.3995,50.4151,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.0:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.017210600261029392,,,
2011-02-17,2011-02-16,DCA_BUY,2000.0,next_open,101.8184,51.3262,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.5:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.016685611337143608,,,
2011-02-24,2011-02-23,DCA_BUY,2000.0,next_open,99.8501,49.653,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.5:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.016915424632691235,,,
2011-03-03,2011-03-02,DCA_BUY,2000.0,next_open,101.0098,50.5202,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.5:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.016539795404519855,,,
2011-03-10,2011-03-09,DCA_BUY,2000.0,next_open,99.9417,49.3989,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.5:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01621703116002497,,,
2011-03-17,2011-03-16,DCA_BUY,2000.0,next_open,97.6529,48.19,0.45,0.55,cheap,1.0,dip_buy_satellite_balanced_or_qqq_tilt,"CAPE=22.9:cheap; panic_ladder_1:tier1_dip:VIX=29.4,RSI=34.0,DD=-6.2%; dip_buy_satellite_balanced_or_qqq_tilt",1.5,0.4,0.4,0.05,0.15,0.01675883592501313,,,
2011-03-24,2011-03-23,DCA_BUY,2000.0,next_open,99.9161,49.2405,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.9:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01599687551804923,,,
2011-03-31,2011-03-30,DCA_BUY,2000.0,next_open,101.6018,50.2231,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.9:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01534388132966055,,,
2011-04-07,2011-04-06,DCA_BUY,2000.0,next_open,102.2301,50.2143,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.9:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.015073624882773626,,,
2011-04-14,2011-04-13,DCA_BUY,2000.0,next_open,100.146,49.53,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.9:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.015025268289195412,,,
2011-04-21,2011-04-20,DCA_BUY,2000.0,next_open,102.5136,51.267,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.014582175242355862,,,
2011-04-28,2011-04-27,DCA_BUY,2000.0,next_open,103.7702,51.7934,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.014079823237536288,,,
2011-05-05,2011-05-04,DCA_BUY,2000.0,next_open,102.7358,51.153,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013999193696076601,,,
2011-05-12,2011-05-11,DCA_BUY,2000.0,next_open,102.7359,51.3898,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013806347987108678,,,
2011-05-19,2011-05-18,DCA_BUY,2000.0,next_open,103.2875,51.074,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013705057693101643,,,
2011-05-26,2011-05-25,DCA_BUY,2000.0,next_open,101.1651,49.6704,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013766219762885234,,,
2011-06-02,2011-06-01,DCA_BUY,2000.0,next_open,101.1114,50.1792,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013570427502213557,,,
2011-06-09,2011-06-08,DCA_BUY,2000.0,next_open,98.6672,48.6089,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=23.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01376913359960052,,,
2011-06-16,2011-06-15,DCA_BUY,2000.0,next_open,97.3569,47.6527,0.6000000000000001,0.4,cheap,0.0,qqq_weak_satellite_to_spy,CAPE=22.1:cheap; qqq_weak_satellite_to_spy,1.5,0.4,0.4,0.2,0.0,0.013791636969677907,,,
2011-06-23,2011-06-22,DCA_BUY,2000.0,next_open,97.9166,47.6892,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.013404114080050527,,,
2011-06-30,2011-06-29,DCA_BUY,2000.0,next_open,100.9813,49.6763,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.012952941138237322,,,
2011-07-07,2011-07-06,DCA_BUY,2000.0,next_open,104.0768,51.7249,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.01240911094270212,,,
2011-07-14,2011-07-13,DCA_BUY,2000.0,next_open,101.7744,50.916,0.5,0.5,cheap,0.0,neutral_satellite,CAPE=22.1:cheap; neutral_satellite,1.5,0.4,0.4,0.1,0.1,0.012422287550470767,,,
