date,signal_date,action,amount,execution_price_mode,spy_trade_price,qqq_trade_price,spy_weight,qqq_weight,regime,panic_tier,satellite_signal,reason,multiplier,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,cash_reservoir_pct,proceeds,trim_spy_frac,trim_qqq_frac
2006-01-04,2006-01-03,INITIAL_ALLOC,100000.0,next_open,87.3352,35.398,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.4:fair; neutral_satellite,,,,,,,,,
2006-01-05,2006-01-04,DCA_BUY,2000.0,next_open,87.5348,35.6886,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.4:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.019527241698936135,,,
2006-01-12,2006-01-11,DCA_BUY,2000.0,next_open,88.8636,36.8939,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=26.4:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.018685789480077524,,,
2006-01-19,2006-01-18,DCA_BUY,2000.0,next_open,88.2095,36.2614,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.5:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.018662005986731983,,,
2006-01-26,2006-01-25,DCA_BUY,2000.0,next_open,87.6037,35.4749,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.5:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.01861124080565681,,,
2006-02-02,2006-02-01,DCA_BUY,2000.0,next_open,88.1889,35.9109,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.5:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.017962778970256454,,,
2006-02-09,2006-02-08,DCA_BUY,2000.0,next_open,87.3765,35.227,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.5:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.01798771931628637,,,
2006-02-16,2006-02-15,DCA_BUY,2000.0,next_open,88.3541,35.3125,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.2:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.017550846524955137,,,
2006-02-23,2006-02-22,DCA_BUY,2000.0,next_open,88.9944,35.21,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.2:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.017158076049443013,,,
2006-03-02,2006-03-01,DCA_BUY,2000.0,next_open,88.7396,35.5177,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.2:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.016783175983084646,,,
2006-03-09,2006-03-08,DCA_BUY,2000.0,next_open,88.3128,35.0475,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.2:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.01673318351993632,,,
2006-03-16,2006-03-15,DCA_BUY,2000.0,next_open,90.1922,35.7741,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.3:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.016137754586006924,,,
2006-03-23,2006-03-22,DCA_BUY,2000.0,next_open,90.0325,35.1491,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.3:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.015963808617615954,,,
2006-03-30,2006-03-29,DCA_BUY,2000.0,next_open,89.9288,35.9361,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.3:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.015603547133737275,,,
2006-04-06,2006-04-05,DCA_BUY,2000.0,next_open,90.4403,36.4322,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.3:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.01518545687106754,,,
2006-04-13,2006-04-12,DCA_BUY,2000.0,next_open,88.8782,35.842,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.3:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.015199637248892369,,,
2006-04-20,2006-04-19,DCA_BUY,2000.0,next_open,90.544,36.475,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.1:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.01473096953058937,,,
2006-04-27,2006-04-26,DCA_BUY,2000.0,next_open,89.7837,35.6453,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.1:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.014681798800268235,,,
2006-05-04,2006-05-03,DCA_BUY,2000.0,next_open,90.5993,35.5255,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.1:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.014504436475241522,,,
2006-05-11,2006-05-10,DCA_BUY,2000.0,next_open,91.5876,35.6111,0.5,0.5,fair,0.0,neutral_satellite,CAPE=26.1:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.014177893045992821,,,
2006-05-18,2006-05-17,DCA_BUY,2000.0,next_open,88.0212,33.7804,0.6000000000000001,0.4,fair,0.0,qqq_weak_satellite_to_spy,CAPE=25.7:fair; qqq_weak_satellite_to_spy,1.25,0.4,0.4,0.2,0.0,0.014698450498694303,,,
2006-05-25,2006-05-24,DCA_BUY,2000.0,next_open,87.724,33.4554,0.6000000000000001,0.4,fair,0.0,qqq_weak_satellite_to_spy,CAPE=25.7:fair; qqq_weak_satellite_to_spy,1.25,0.4,0.4,0.2,0.0,0.014610062139235158,,,
2006-06-01,2006-05-31,DCA_BUY,2000.0,next_open,88.0419,33.3014,0.6000000000000001,0.4,fair,0.0,qqq_weak_satellite_to_spy,CAPE=25.7:fair; qqq_weak_satellite_to_spy,1.25,0.4,0.4,0.2,0.0,0.014329091040983417,,,
2006-06-08,2006-06-07,DCA_BUY,2000.0,next_open,86.7978,32.7368,0.6000000000000001,0.4,fair,0.0,qqq_weak_satellite_to_spy,CAPE=25.7:fair; qqq_weak_satellite_to_spy,1.25,0.4,0.4,0.2,0.0,0.014284546899424632,,,
