date,signal_date,action,amount,execution_price_mode,spy_trade_price,qqq_trade_price,spy_weight,qqq_weight,regime,panic_tier,satellite_signal,reason,multiplier,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,cash_reservoir_pct,proceeds,trim_spy_frac,trim_qqq_frac
2023-05-31,2023-05-30,INITIAL_ALLOC,100000.0,next_open,402.5133,342.2983,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,,,,,,,,,
2023-06-01,2023-05-31,DCA_BUY,2000.0,next_open,402.3305,341.6695,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.01965725776869837,,,
2023-06-08,2023-06-07,DCA_BUY,2000.0,next_open,410.539,343.0352,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.019095998234082697,,,
2023-06-15,2023-06-14,DCA_BUY,2000.0,next_open,419.8829,358.2552,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.01804405520214199,,,
2023-06-22,2023-06-21,DCA_BUY,2000.0,next_open,419.1439,354.8307,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.017834632519236275,,,
2023-06-29,2023-06-28,DCA_BUY,2000.0,next_open,421.0853,358.3826,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.01742403681417691,,,
2023-07-06,2023-07-05,DCA_BUY,2000.0,next_open,424.4272,360.6162,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.016866784546394224,,,
2023-07-13,2023-07-12,DCA_BUY,2000.0,next_open,432.6179,370.0027,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=29.9:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.016475889084385197,,,
2023-07-20,2023-07-19,DCA_BUY,2000.0,next_open,438.674,376.4573,0.4,0.6000000000000001,elevated,0.0,qqq_strong_satellite_to_qqq,CAPE=30.9:elevated; qqq_strong_satellite_to_qqq,1.0,0.4,0.4,0.0,0.2,0.015763595253589887,,,
2023-07-27,2023-07-26,DCA_BUY,2000.0,next_open,443.3585,376.9098,0.4,0.6000000000000001,elevated,0.0,qqq_strong_satellite_to_qqq,CAPE=30.9:elevated; qqq_strong_satellite_to_qqq,1.0,0.4,0.4,0.0,0.2,0.01570973501010043,,,
2023-08-03,2023-08-02,DCA_BUY,2000.0,next_open,432.7531,365.9588,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.9:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.015619292755650367,,,
2023-08-10,2023-08-09,DCA_BUY,2000.0,next_open,432.898,365.0044,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.9:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.015596873537265906,,,
2023-08-17,2023-08-16,DCA_BUY,2000.0,next_open,426.1079,358.1071,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.5:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.015577680318910153,,,
2023-08-24,2023-08-23,DCA_BUY,2000.0,next_open,429.5174,366.6475,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.5:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.015133136827316037,,,
2023-08-31,2023-08-30,DCA_BUY,2000.0,next_open,436.2399,370.8785,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.5:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014624360845221594,,,
2023-09-07,2023-09-06,DCA_BUY,2000.0,next_open,427.9913,364.2566,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.5:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014523632458151614,,,
2023-09-14,2023-09-13,DCA_BUY,2000.0,next_open,433.748,369.9437,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.5:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014322173220559904,,,
2023-09-21,2023-09-20,DCA_BUY,2000.0,next_open,422.3186,355.5118,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.8:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014408756773350373,,,
2023-09-28,2023-09-27,DCA_BUY,2000.0,next_open,412.4125,348.9199,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.8:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014593240076169297,,,
2023-10-05,2023-10-04,DCA_BUY,2000.0,next_open,411.3269,354.4674,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.8:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.014292472011581897,,,
2023-10-12,2023-10-11,DCA_BUY,2000.0,next_open,423.5302,366.2816,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.8:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.013685597952748395,,,
2023-10-19,2023-10-18,DCA_BUY,2000.0,next_open,417.7145,359.4631,0.5,0.5,fair,0.0,neutral_satellite,CAPE=28.7:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.013748418235183607,,,
2023-10-26,2023-10-25,DCA_BUY,2000.0,next_open,403.6598,344.003,0.45,0.55,fair,1.0,dip_buy_satellite_balanced_or_qqq_tilt,"CAPE=28.7:fair; falling_knife_guard; panic_ladder_1:tier1_dip:VIX=20.2,RSI=34.3,DD=-8.5%; dip_buy_satellite_balanced_or_qqq_tilt",1.25,0.4,0.4,0.05,0.15,0.014021987007596224,,,
2023-11-02,2023-11-01,DCA_BUY,2000.0,next_open,413.4787,356.241,0.5,0.5,fair,0.0,neutral_satellite,CAPE=28.7:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.013611263331559336,,,
2023-11-09,2023-11-08,DCA_BUY,2000.0,next_open,424.9647,368.1637,0.5,0.5,fair,0.0,neutral_satellite,CAPE=28.7:fair; neutral_satellite,1.25,0.4,0.4,0.1,0.1,0.012914521652703646,,,
2023-11-16,2023-11-15,DCA_BUY,2000.0,next_open,435.4234,379.1995,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.0:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.01236361229823879,,,
2023-11-24,2023-11-22,DCA_BUY,2000.0,next_open,441.0936,383.939,0.45,0.55,elevated,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=30.0:elevated; qqq_mild_strength_satellite_qqq_tilt,1.0,0.4,0.4,0.05,0.15,0.012073513965991302,,,
2023-11-30,2023-11-29,DCA_BUY,2000.0,next_open,441.4911,384.3627,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.0:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.011938451316145413,,,
2023-12-07,2023-12-06,DCA_BUY,2000.0,next_open,442.8772,382.3821,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.0:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.011880351090690043,,,
2023-12-14,2023-12-13,DCA_BUY,2000.0,next_open,457.9884,399.0443,0.5,0.5,elevated,0.0,neutral_satellite,CAPE=30.0:elevated; neutral_satellite,1.0,0.4,0.4,0.1,0.1,0.01126637213440191,,,
