observation_month,published_at,available_at,cape,source,source_url,source_sha256,downloaded_at
1871-02-01,2026-06-08T00:11:02,1871-02-15,10.92,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-03-01,2026-06-08T00:11:02,1871-03-15,11.19,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-04-01,2026-06-08T00:11:02,1871-04-14,12.05,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-05-01,2026-06-08T00:11:02,1871-05-15,12.59,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-06-01,2026-06-08T00:11:02,1871-06-15,12.59,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-07-01,2026-06-08T00:11:02,1871-07-14,12.27,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-08-01,2026-06-08T00:11:02,1871-08-15,12.55,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-09-01,2026-06-08T00:11:02,1871-09-15,12.31,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-10-01,2026-06-08T00:11:02,1871-10-13,11.47,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-11-01,2026-06-08T00:11:02,1871-11-15,11.6,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1871-12-01,2026-06-08T00:11:02,1871-12-15,11.59,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-01-01,2026-06-08T00:11:02,1872-01-15,11.9,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-02-01,2026-06-08T00:11:02,1872-02-15,11.96,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-03-01,2026-06-08T00:11:02,1872-03-15,12.18,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-04-01,2026-06-08T00:11:02,1872-04-15,12.25,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-05-01,2026-06-08T00:11:02,1872-05-15,12.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-06-01,2026-06-08T00:11:02,1872-06-14,12.27,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-07-01,2026-06-08T00:11:02,1872-07-15,12.38,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-08-01,2026-06-08T00:11:02,1872-08-15,12.13,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-09-01,2026-06-08T00:11:02,1872-09-13,11.83,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-10-01,2026-06-08T00:11:02,1872-10-15,12.13,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-11-01,2026-06-08T00:11:02,1872-11-15,11.71,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1872-12-01,2026-06-08T00:11:02,1872-12-13,12.17,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-01-01,2026-06-08T00:11:02,1873-01-15,12.25,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-02-01,2026-06-08T00:11:02,1873-02-14,12.05,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-03-01,2026-06-08T00:11:02,1873-03-14,11.95,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-04-01,2026-06-08T00:11:02,1873-04-15,11.78,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-05-01,2026-06-08T00:11:02,1873-05-15,12.05,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-06-01,2026-06-08T00:11:02,1873-06-13,12.22,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-07-01,2026-06-08T00:11:02,1873-07-15,12.16,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-08-01,2026-06-08T00:11:02,1873-08-15,12.12,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-09-01,2026-06-08T00:11:02,1873-09-15,11.16,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-10-01,2026-06-08T00:11:02,1873-10-15,10.4,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-11-01,2026-06-08T00:11:02,1873-11-14,10.31,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1873-12-01,2026-06-08T00:11:02,1873-12-15,10.96,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-01-01,2026-06-08T00:11:02,1874-01-15,11.33,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-02-01,2026-06-08T00:11:02,1874-02-13,11.63,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-03-01,2026-06-08T00:11:02,1874-03-13,11.43,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-04-01,2026-06-08T00:11:02,1874-04-15,11.26,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-05-01,2026-06-08T00:11:02,1874-05-15,11.02,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-06-01,2026-06-08T00:11:02,1874-06-15,11.19,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-07-01,2026-06-08T00:11:02,1874-07-15,11.07,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-08-01,2026-06-08T00:11:02,1874-08-14,11.14,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-09-01,2026-06-08T00:11:02,1874-09-15,11.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-10-01,2026-06-08T00:11:02,1874-10-15,11.4,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-11-01,2026-06-08T00:11:02,1874-11-13,11.56,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-12-01,2026-06-08T00:11:02,1874-12-15,11.45,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-01-01,2026-06-08T00:11:02,1875-01-15,11.41,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-02-01,2026-06-08T00:11:02,1875-02-15,11.35,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-03-01,2026-06-08T00:11:02,1875-03-15,11.48,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-04-01,2026-06-08T00:11:02,1875-04-15,11.51,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-05-01,2026-06-08T00:11:02,1875-05-14,11.33,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-06-01,2026-06-08T00:11:02,1875-06-15,11.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-07-01,2026-06-08T00:11:02,1875-07-15,11.29,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-08-01,2026-06-08T00:11:02,1875-08-13,11.24,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
