date,action,amount,multiplier,spy_weight,qqq_weight,regime,proceeds,trim_spy_frac,trim_qqq_frac,reason
2023-06-01,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-06-08,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-06-15,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-06-22,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-06-29,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-07-06,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-07-13,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-07-20,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-07-27,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-08-03,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-08-10,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-08-17,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-08-24,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-08-31,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-09-07,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-09-14,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-09-21,DCA_BUY,2000.0,1.25,0.55,0.45,fair,,,,
2023-09-28,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-10-05,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-10-12,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-10-19,DCA_BUY,2000.0,1.25,0.45,0.55,fair,,,,
2023-10-26,DCA_BUY,1000.0,0.5,0.75,0.25,fair,,,,
2023-11-02,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-11-09,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-11-16,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-11-24,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-11-30,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-12-07,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-12-14,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-12-21,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2023-12-28,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-01-04,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-01-11,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-01-18,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-01-25,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-02-01,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-02-08,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-02-15,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-02-22,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-02-29,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-03-07,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-03-14,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-03-21,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-03-28,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-04-04,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-04-11,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-04-18,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-04-25,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-05-02,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-05-09,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-05-16,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-05-23,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-05-30,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2024-06-06,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-06-13,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-06-20,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-06-27,DCA_BUY,2000.0,1.0,0.45,0.55,elevated,,,,
2024-07-05,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-07-11,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-07-18,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-07-25,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-08-01,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-08-08,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-08-15,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-08-22,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-08-29,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-09-05,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-09-12,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-09-19,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-09-26,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-10-03,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-10-10,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-10-17,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-10-24,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-10-31,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-11-07,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-11-14,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-11-21,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2024-11-29,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-12-05,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-12-12,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-12-19,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2024-12-26,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-01-02,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-01-10,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-01-16,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-01-23,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-01-30,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-02-06,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-02-13,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-02-20,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-02-27,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-03-06,DCA_BUY,2000.0,1.0,0.55,0.45,elevated,,,,
2025-03-13,DCA_BUY,1000.0,0.5,0.75,0.25,elevated,,,,
2025-03-20,DCA_BUY,1000.0,0.5,0.75,0.25,elevated,,,,
2025-03-27,DCA_BUY,1000.0,0.5,0.75,0.25,elevated,,,,
2025-04-03,DCA_BUY,4000.0,2.0,0.85,0.15,elevated,,,,
2025-04-03,MONTHLY_TRIM,,,,,elevated,32385.23,0.0,0.1,"CAPE=32.6:elevated; panic_override:VIX=30.0,RSI=31.6,DD=-12.4%; monthly_risk_off_trim"
2025-04-10,DCA_BUY,4000.0,2.0,0.85,0.15,elevated,,,,
2025-04-17,DCA_BUY,1000.0,0.5,0.85,0.15,elevated,,,,
2025-04-24,DCA_BUY,1000.0,0.5,0.85,0.15,elevated,,,,
2025-05-01,DCA_BUY,1000.0,0.5,0.65,0.35,expensive,,,,
2025-05-08,DCA_BUY,1000.0,0.5,0.65,0.35,expensive,,,,
2025-05-15,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-05-22,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-05-29,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-06-05,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-06-12,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-06-20,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-06-26,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2025-07-03,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-07-10,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-07-17,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-07-24,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-07-31,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-08-07,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-08-14,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-08-21,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-08-28,DCA_BUY,1500.0,0.75,0.55,0.45,expensive,,,,
2025-09-04,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2025-09-11,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-09-18,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-09-25,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-10-02,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-10-09,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-10-16,DCA_BUY,1000.0,0.5,0.55,0.45,very_expensive,,,,
2025-10-23,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-10-30,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-11-06,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-11-13,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-11-20,DCA_BUY,1000.0,0.5,0.55,0.45,very_expensive,,,,
2025-11-28,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-12-04,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-12-11,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2025-12-18,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2025-12-26,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2026-01-02,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-01-08,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-01-15,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-01-22,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-01-29,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-02-05,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2026-02-12,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2026-02-19,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2026-02-26,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2026-03-05,DCA_BUY,1500.0,0.75,0.65,0.35,expensive,,,,
2026-03-12,DCA_BUY,1000.0,0.5,0.65,0.35,expensive,,,,
2026-03-19,DCA_BUY,1000.0,0.5,0.65,0.35,expensive,,,,
2026-03-26,DCA_BUY,1000.0,0.5,0.85,0.15,expensive,,,,
2026-03-27,MONTHLY_TRIM,,,,,expensive,39159.06,0.0,0.1,"CAPE=37.7:expensive; panic_override:VIX=31.1,RSI=28.1,DD=-8.8%; monthly_risk_off_trim"
2026-04-02,DCA_BUY,1000.0,0.5,0.65,0.35,very_expensive,,,,
2026-04-09,DCA_BUY,1500.0,0.75,0.65,0.35,very_expensive,,,,
2026-04-16,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2026-04-23,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2026-04-30,DCA_BUY,1500.0,0.75,0.55,0.45,very_expensive,,,,
2026-05-07,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-05-14,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-05-14,MONTHLY_TRIM,,,,,very_expensive,13662.2,0.0,0.03,CAPE=41.0:very_expensive; overbought_expensive_soft_cap:RSI=78.5; trend_confirmed_min_0_75x; monthly_profit_lock_micro_trim
2026-05-21,DCA_BUY,1500.0,0.75,0.6,0.4,very_expensive,,,,
2026-05-28,DCA_BUY,1500.0,0.75,0.6,0.4,extreme_valuation,,,,
