date,signal_date,action,amount,execution_price_mode,spy_trade_price,qqq_trade_price,spy_weight,qqq_weight,regime,panic_tier,satellite_signal,reason,multiplier,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,cash_reservoir_pct,proceeds,trim_spy_frac,trim_qqq_frac
2023-05-31,2023-05-30,INITIAL_ALLOC,100000.0,next_open,418.28,348.37,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,,,,,,,,,
2023-06-01,2023-05-31,DCA_BUY,2000.0,next_open,418.09,347.73,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.01965725774138281,,,
2023-06-08,2023-06-07,DCA_BUY,2000.0,next_open,426.62,349.12,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.019095999475805234,,,
2023-06-15,2023-06-14,DCA_BUY,2000.0,next_open,436.33,364.61,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.018044058204953712,,,
2023-06-22,2023-06-21,DCA_BUY,2000.0,next_open,433.95,360.63,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.01787508230719084,,,
2023-06-29,2023-06-28,DCA_BUY,2000.0,next_open,435.96,364.24,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.01746282705101834,,,
2023-07-06,2023-07-05,DCA_BUY,2000.0,next_open,439.42,366.51,0.45,0.55,fair,0.0,qqq_mild_strength_satellite_qqq_tilt,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,1.25,0.4,0.4,0.05,0.15,0.016903698402980793,,,
2023-07-13,2023-07-12,DCA_BUY,2000.0,next_open,447.9,376.05,0.4,0.6000000000000001,fair,0.0,qqq_strong_satellite_to_qqq,CAPE=29.9:fair; qqq_strong_satellite_to_qqq,1.25,0.4,0.4,0.0,0.2,0.016511342743579637,,,
2023-07-20,2023-07-19,DCA_BUY,2000.0,next_open,454.17,382.61,0.4,0.6000000000000001,elevated,0.0,qqq_strong_satellite_to_qqq,CAPE=30.9:elevated; qqq_strong_satellite_to_qqq,1.0,0.4,0.4,0.0,0.2,0.015796878961848403,,,
2023-07-27,2023-07-26,DCA_BUY,2000.0,next_open,459.02,383.07,0.4,0.6000000000000001,elevated,0.0,qqq_strong_satellite_to_qqq,CAPE=30.9:elevated; qqq_strong_satellite_to_qqq,1.0,0.4,0.4,0.0,0.2,0.015742552689755395,,,
